metric,population,run,value_ms
device_proof_gen_ms,1000,132,0.588378
device_proof_gen_ms,1000,133,0.642925
device_proof_gen_ms,1000,134,0.639907
device_proof_gen_ms,1000,135,0.575690
device_proof_gen_ms,1000,136,0.664656
device_proof_gen_ms,1000,137,0.593866
device_proof_gen_ms,1000,138,0.631805
device_proof_gen_ms,1000,139,0.625528
device_proof_gen_ms,1000,140,0.598332
device_proof_gen_ms,1000,141,0.661252
device_proof_gen_ms,1000,142,0.892027
device_proof_gen_ms,1000,143,0.635543
device_proof_gen_ms,1000,144,0.642923
device_proof_gen_ms,1000,145,0.669195
device_proof_gen_ms,1000,146,0.577222
device_proof_gen_ms,1000,147,0.683879
device_proof_gen_ms,1000,148,0.984127
device_proof_gen_ms,1000,149,0.679783
device_proof_gen_ms,1000,150,0.587930
device_proof_gen_ms,1000,151,0.675695
device_proof_gen_ms,1000,152,0.606700
device_proof_gen_ms,1000,153,0.662032
device_proof_gen_ms,1000,154,0.912594
device_proof_gen_ms,1000,155,0.815037
device_proof_gen_ms,1000,156,0.660765
device_proof_gen_ms,1000,157,0.610927
device_proof_gen_ms,1000,158,0.609544
device_proof_gen_ms,1000,159,0.593350
device_proof_gen_ms,1000,160,0.628025
device_proof_gen_ms,1000,161,0.628387
device_proof_gen_ms,1000,162,0.629665
device_proof_gen_ms,1000,163,0.625377
device_proof_gen_ms,1000,164,0.649175
device_proof_gen_ms,1000,165,0.625277
device_proof_gen_ms,1000,166,0.766705
device_proof_gen_ms,1000,167,0.711054
device_proof_gen_ms,1000,168,0.600676
device_proof_gen_ms,1000,169,0.625069
device_proof_gen_ms,1000,170,0.583627
device_proof_gen_ms,1000,171,0.581406
device_proof_gen_ms,1000,172,0.703099
device_proof_gen_ms,1000,173,0.608722
device_proof_gen_ms,1000,174,0.662206
device_proof_gen_ms,1000,175,0.676428
device_proof_gen_ms,1000,176,0.575072
device_proof_gen_ms,1000,177,0.621249
device_proof_gen_ms,1000,178,0.636972
device_proof_gen_ms,1000,179,0.745400
device_proof_gen_ms,1000,180,0.657488
device_proof_gen_ms,1000,181,0.633498
device_proof_gen_ms,1000,182,0.590478
device_proof_gen_ms,1000,183,0.581974
device_proof_gen_ms,1000,184,0.642624
device_proof_gen_ms,1000,185,0.726964
device_proof_gen_ms,1000,186,0.596528
device_proof_gen_ms,1000,187,0.575170
device_proof_gen_ms,1000,188,0.649248
device_proof_gen_ms,1000,189,0.613773
device_proof_gen_ms,1000,190,0.607796
device_proof_gen_ms,1000,191,0.618893
device_proof_gen_ms,1000,192,0.554451
device_proof_gen_ms,1000,193,0.604139
device_proof_gen_ms,1000,194,0.585882
device_proof_gen_ms,1000,195,0.640492
device_proof_gen_ms,1000,196,0.653319
device_proof_gen_ms,1000,197,0.633739
device_proof_gen_ms,1000,198,0.643000
device_proof_gen_ms,1000,199,0.641245
controller_schnorr_verify_ms,1000,0,2.808772
controller_schnorr_verify_ms,1000,1,2.735830
controller_schnorr_verify_ms,1000,2,2.717324
controller_schnorr_verify_ms,1000,3,2.703041
controller_schnorr_verify_ms,1000,4,2.693027
controller_schnorr_verify_ms,1000,5,2.602755
controller_schnorr_verify_ms,1000,6,2.655311
controller_schnorr_verify_ms,1000,7,2.641667
controller_schnorr_verify_ms,1000,8,2.709085
controller_schnorr_verify_ms,1000,9,2.630381
controller_schnorr_verify_ms,1000,10,2.732869
controller_schnorr_verify_ms,1000,11,2.555050
controller_schnorr_verify_ms,1000,12,2.642271
controller_schnorr_verify_ms,1000,13,2.634447
controller_schnorr_verify_ms,1000,14,2.615181
controller_schnorr_verify_ms,1000,15,2.641772
controller_schnorr_verify_ms,1000,16,2.585512
controller_schnorr_verify_ms,1000,17,2.752207
controller_schnorr_verify_ms,1000,18,2.657735
controller_schnorr_verify_ms,1000,19,2.552330
controller_schnorr_verify_ms,1000,20,2.709630
controller_schnorr_verify_ms,1000,21,2.645530
controller_schnorr_verify_ms,1000,22,2.621782
controller_schnorr_verify_ms,1000,23,3.020601
controller_schnorr_verify_ms,1000,24,2.779373
controller_schnorr_verify_ms,1000,25,2.697952
controller_schnorr_verify_ms,1000,26,2.617047
controller_schnorr_verify_ms,1000,27,3.724942
controller_schnorr_verify_ms,1000,28,2.889085
controller_schnorr_verify_ms,1000,29,2.662870
controller_schnorr_verify_ms,1000,30,2.620888
controller_schnorr_verify_ms,1000,31,2.700310
controller_schnorr_verify_ms,1000,32,2.715436
controller_schnorr_verify_ms,1000,33,2.582824
controller_schnorr_verify_ms,1000,34,2.616424
controller_schnorr_verify_ms,1000,35,2.625508
controller_schnorr_verify_ms,1000,36,2.683044
controller_schnorr_verify_ms,1000,37,2.667481
controller_schnorr_verify_ms,1000,38,2.554795
controller_schnorr_verify_ms,1000,39,2.674851
controller_schnorr_verify_ms,1000,40,2.624621
controller_schnorr_verify_ms,1000,41,2.560041
controller_schnorr_verify_ms,1000,42,2.632936
controller_schnorr_verify_ms,1000,43,2.604257
controller_schnorr_verify_ms,1000,44,2.750804
controller_schnorr_verify_ms,1000,45,2.644549
controller_schnorr_verify_ms,1000,46,2.630074
controller_schnorr_verify_ms,1000,47,2.578031
controller_schnorr_verify_ms,1000,48,2.668542
controller_schnorr_verify_ms,1000,49,2.591247
controller_schnorr_verify_ms,1000,50,2.607012
controller_schnorr_verify_ms,1000,51,2.643265
controller_schnorr_verify_ms,1000,52,2.641612
controller_schnorr_verify_ms,1000,53,2.635678
controller_schnorr_verify_ms,1000,54,2.748917
controller_schnorr_verify_ms,1000,55,2.723693
controller_schnorr_verify_ms,1000,56,2.612466
controller_schnorr_verify_ms,1000,57,2.618574
controller_schnorr_verify_ms,1000,58,2.653281
controller_schnorr_verify_ms,1000,59,2.613343
controller_schnorr_verify_ms,1000,60,2.674889
controller_schnorr_verify_ms,1000,61,2.704824
controller_schnorr_verify_ms,1000,62,2.648110
controller_schnorr_verify_ms,1000,63,2.574560
controller_schnorr_verify_ms,1000,64,2.683403
controller_schnorr_verify_ms,1000,65,2.789334
controller_schnorr_verify_ms,1000,66,2.637535
controller_schnorr_verify_ms,1000,67,2.667253
controller_schnorr_verify_ms,1000,68,2.609506
controller_schnorr_verify_ms,1000,69,2.657952
controller_schnorr_verify_ms,1000,70,2.714041
controller_schnorr_verify_ms,1000,71,2.622828
controller_schnorr_verify_ms,1000,72,2.607598
controller_schnorr_verify_ms,1000,73,2.613285
controller_schnorr_verify_ms,1000,74,2.640278
controller_schnorr_verify_ms,1000,75,2.565664
controller_schnorr_verify_ms,1000,76,2.633114
controller_schnorr_verify_ms,1000,77,2.558680
controller_schnorr_verify_ms,1000,78,2.661716
controller_schnorr_verify_ms,1000,79,2.943600
controller_schnorr_verify_ms,1000,80,2.655460
controller_schnorr_verify_ms,1000,81,2.651117
controller_schnorr_verify_ms,1000,82,2.658930
controller_schnorr_verify_ms,1000,83,2.622082
controller_schnorr_verify_ms,1000,84,2.820015
controller_schnorr_verify_ms,1000,85,2.822113
controller_schnorr_verify_ms,1000,86,2.627514
controller_schnorr_verify_ms,1000,87,2.661293
controller_schnorr_verify_ms,1000,88,2.643233
controller_schnorr_verify_ms,1000,89,2.598930
controller_schnorr_verify_ms,1000,90,2.625003
controller_schnorr_verify_ms,1000,91,2.732188
controller_schnorr_verify_ms,1000,92,2.775310
controller_schnorr_verify_ms,1000,93,2.649169
controller_schnorr_verify_ms,1000,94,2.653966
controller_schnorr_verify_ms,1000,95,2.645970
controller_schnorr_verify_ms,1000,96,2.687637
controller_schnorr_verify_ms,1000,97,2.594675
controller_schnorr_verify_ms,1000,98,2.672330
controller_schnorr_verify_ms,1000,99,2.662609
controller_schnorr_verify_ms,1000,100,2.658011
controller_schnorr_verify_ms,1000,101,2.641666
controller_schnorr_verify_ms,1000,102,2.706657
controller_schnorr_verify_ms,1000,103,2.703649
controller_schnorr_verify_ms,1000,104,2.619416
controller_schnorr_verify_ms,1000,105,2.613720
controller_schnorr_verify_ms,1000,106,2.711678
controller_schnorr_verify_ms,1000,107,2.595412
controller_schnorr_verify_ms,1000,108,2.678107
controller_schnorr_verify_ms,1000,109,2.638073
controller_schnorr_verify_ms,1000,110,2.689387
controller_schnorr_verify_ms,1000,111,2.605090
controller_schnorr_verify_ms,1000,112,2.615217
controller_schnorr_verify_ms,1000,113,2.611589
controller_schnorr_verify_ms,1000,114,2.581784
controller_schnorr_verify_ms,1000,115,2.663946
controller_schnorr_verify_ms,1000,116,2.551893
controller_schnorr_verify_ms,1000,117,2.684339
controller_schnorr_verify_ms,1000,118,2.675391
controller_schnorr_verify_ms,1000,119,2.703967
controller_schnorr_verify_ms,1000,120,2.628852
controller_schnorr_verify_ms,1000,121,2.658833
controller_schnorr_verify_ms,1000,122,2.618079
controller_schnorr_verify_ms,1000,123,2.633248
controller_schnorr_verify_ms,1000,124,2.716211
controller_schnorr_verify_ms,1000,125,2.722220
controller_schnorr_verify_ms,1000,126,2.706142
controller_schnorr_verify_ms,1000,127,2.658623
controller_schnorr_verify_ms,1000,128,2.580705
controller_schnorr_verify_ms,1000,129,2.759421
controller_schnorr_verify_ms,1000,130,2.666711
controller_schnorr_verify_ms,1000,131,2.620016
controller_schnorr_verify_ms,1000,132,2.654079
controller_schnorr_verify_ms,1000,133,2.691515
controller_schnorr_verify_ms,1000,134,2.580227
controller_schnorr_verify_ms,1000,135,2.684249
controller_schnorr_verify_ms,1000,136,4.174817
controller_schnorr_verify_ms,1000,137,2.754082
controller_schnorr_verify_ms,1000,138,2.615515
controller_schnorr_verify_ms,1000,139,2.656911
controller_schnorr_verify_ms,1000,140,2.709466
controller_schnorr_verify_ms,1000,141,2.611248
controller_schnorr_verify_ms,1000,142,2.626373
controller_schnorr_verify_ms,1000,143,2.638734
controller_schnorr_verify_ms,1000,144,2.623994
controller_schnorr_verify_ms,1000,145,2.703753
controller_schnorr_verify_ms,1000,146,2.677528
controller_schnorr_verify_ms,1000,147,2.590940
controller_schnorr_verify_ms,1000,148,2.671050
controller_schnorr_verify_ms,1000,149,2.663562
controller_schnorr_verify_ms,1000,150,2.559572
controller_schnorr_verify_ms,1000,151,2.700128
controller_schnorr_verify_ms,1000,152,2.654722
controller_schnorr_verify_ms,1000,153,2.588158
controller_schnorr_verify_ms,1000,154,2.645109
controller_schnorr_verify_ms,1000,155,2.625591
controller_schnorr_verify_ms,1000,156,2.750364
controller_schnorr_verify_ms,1000,157,2.682187
controller_schnorr_verify_ms,1000,158,2.772480
controller_schnorr_verify_ms,1000,159,2.738099
controller_schnorr_verify_ms,1000,160,2.921629
controller_schnorr_verify_ms,1000,161,2.748539
controller_schnorr_verify_ms,1000,162,2.779408
controller_schnorr_verify_ms,1000,163,2.921866
controller_schnorr_verify_ms,1000,164,2.768345
controller_schnorr_verify_ms,1000,165,2.611148
controller_schnorr_verify_ms,1000,166,2.748130
controller_schnorr_verify_ms,1000,167,2.719519
controller_schnorr_verify_ms,1000,168,2.642534
controller_schnorr_verify_ms,1000,169,2.691338
controller_schnorr_verify_ms,1000,170,2.675927
controller_schnorr_verify_ms,1000,171,2.619862
controller_schnorr_verify_ms,1000,172,2.637752
controller_schnorr_verify_ms,1000,173,2.664031
controller_schnorr_verify_ms,1000,174,2.651196
controller_schnorr_verify_ms,1000,175,2.654299
controller_schnorr_verify_ms,1000,176,2.773549
controller_schnorr_verify_ms,1000,177,2.629142
controller_schnorr_verify_ms,1000,178,2.668272
controller_schnorr_verify_ms,1000,179,2.617804
controller_schnorr_verify_ms,1000,180,2.604674
controller_schnorr_verify_ms,1000,181,2.642258
controller_schnorr_verify_ms,1000,182,2.617593
controller_schnorr_verify_ms,1000,183,2.638131
controller_schnorr_verify_ms,1000,184,2.617842
controller_schnorr_verify_ms,1000,185,2.653143
controller_schnorr_verify_ms,1000,186,2.584224
controller_schnorr_verify_ms,1000,187,2.657092
controller_schnorr_verify_ms,1000,188,2.581945
controller_schnorr_verify_ms,1000,189,2.621450
controller_schnorr_verify_ms,1000,190,2.628038
controller_schnorr_verify_ms,1000,191,2.633369
controller_schnorr_verify_ms,1000,192,2.617275
controller_schnorr_verify_ms,1000,193,2.654173
controller_schnorr_verify_ms,1000,194,2.670261
controller_schnorr_verify_ms,1000,195,2.619415
controller_schnorr_verify_ms,1000,196,2.615816
controller_schnorr_verify_ms,1000,197,2.695398
controller_schnorr_verify_ms,1000,198,2.590748
controller_schnorr_verify_ms,1000,199,2.733507
membership_proof_gen_ms,1000,0,1.030457
membership_proof_gen_ms,1000,1,0.883463
membership_proof_gen_ms,1000,2,0.867102
membership_proof_gen_ms,1000,3,0.872434
membership_proof_gen_ms,1000,4,0.874273
membership_proof_gen_ms,1000,5,0.900746
membership_proof_gen_ms,1000,6,0.876290
membership_proof_gen_ms,1000,7,0.907296
membership_proof_gen_ms,1000,8,0.876429
membership_proof_gen_ms,1000,9,0.910154
membership_proof_gen_ms,1000,10,0.909759
membership_proof_gen_ms,1000,11,0.857992
membership_proof_gen_ms,1000,12,0.933469
membership_proof_gen_ms,1000,13,1.024123
membership_proof_gen_ms,1000,14,1.302277
membership_proof_gen_ms,1000,15,0.910989
membership_proof_gen_ms,1000,16,0.867197
membership_proof_gen_ms,1000,17,0.932602
membership_proof_gen_ms,1000,18,0.888460
membership_proof_gen_ms,1000,19,0.884609
membership_proof_gen_ms,1000,20,0.917406
membership_proof_gen_ms,1000,21,0.933209
membership_proof_gen_ms,1000,22,1.184898
membership_proof_gen_ms,1000,23,0.887600
membership_proof_gen_ms,1000,24,0.876440
membership_proof_gen_ms,1000,25,0.946151
membership_proof_gen_ms,1000,26,0.936820
membership_proof_gen_ms,1000,27,0.882433
membership_proof_gen_ms,1000,28,0.879368
membership_proof_gen_ms,1000,29,0.858270
membership_proof_gen_ms,1000,30,0.935457
membership_proof_gen_ms,1000,31,0.894198
membership_proof_gen_ms,1000,32,0.876511
membership_proof_gen_ms,1000,33,0.890124
membership_proof_gen_ms,1000,34,0.940376
membership_proof_gen_ms,1000,35,0.905040
membership_proof_gen_ms,1000,36,0.882431
membership_proof_gen_ms,1000,37,0.909800
membership_proof_gen_ms,1000,38,0.888097
membership_proof_gen_ms,1000,39,0.903810
membership_proof_gen_ms,1000,40,1.285663
membership_proof_gen_ms,1000,41,0.908148
membership_proof_gen_ms,1000,42,0.875397
membership_proof_gen_ms,1000,43,0.882761
membership_proof_gen_ms,1000,44,0.918255
membership_proof_gen_ms,1000,45,0.889758
membership_proof_gen_ms,1000,46,0.877411
membership_proof_gen_ms,1000,47,0.897218
membership_proof_gen_ms,1000,48,0.911542
membership_proof_gen_ms,1000,49,0.874958
membership_proof_gen_ms,1000,50,0.922842
membership_proof_gen_ms,1000,51,0.879322
membership_proof_gen_ms,1000,52,0.907481
membership_proof_gen_ms,1000,53,0.877942
membership_proof_gen_ms,1000,54,0.875720
membership_proof_gen_ms,1000,55,0.875715
membership_proof_gen_ms,1000,56,0.903345
membership_proof_gen_ms,1000,57,0.928564
membership_proof_gen_ms,1000,58,0.898635
membership_proof_gen_ms,1000,59,0.880760
membership_proof_gen_ms,1000,60,0.876890
membership_proof_gen_ms,1000,61,0.900446
membership_proof_gen_ms,1000,62,0.875073
membership_proof_gen_ms,1000,63,0.883166
membership_proof_gen_ms,1000,64,0.920356
membership_proof_gen_ms,1000,65,0.872592
membership_proof_gen_ms,1000,66,0.904065
membership_proof_gen_ms,1000,67,0.882172
membership_proof_gen_ms,1000,68,0.874522
membership_proof_gen_ms,1000,69,0.885927
membership_proof_gen_ms,1000,70,0.941362
membership_proof_gen_ms,1000,71,0.915670
membership_proof_gen_ms,1000,72,0.859250
membership_proof_gen_ms,1000,73,0.877762
membership_proof_gen_ms,1000,74,0.871488
membership_proof_gen_ms,1000,75,0.932886
membership_proof_gen_ms,1000,76,0.910415
membership_proof_gen_ms,1000,77,0.885672
membership_proof_gen_ms,1000,78,0.909634
membership_proof_gen_ms,1000,79,0.923355
membership_proof_gen_ms,1000,80,0.906624
membership_proof_gen_ms,1000,81,0.966279
membership_proof_gen_ms,1000,82,1.382359
membership_proof_gen_ms,1000,83,0.961828
membership_proof_gen_ms,1000,84,0.950996
membership_proof_gen_ms,1000,85,1.005434
membership_proof_gen_ms,1000,86,0.892180
membership_proof_gen_ms,1000,87,0.906474
membership_proof_gen_ms,1000,88,0.875998
membership_proof_gen_ms,1000,89,0.872858
membership_proof_gen_ms,1000,90,0.913832
membership_proof_gen_ms,1000,91,0.883275
membership_proof_gen_ms,1000,92,0.913208
membership_proof_gen_ms,1000,93,0.887291
membership_proof_gen_ms,1000,94,0.879740
membership_proof_gen_ms,1000,95,0.884642
membership_proof_gen_ms,1000,96,0.917678
membership_proof_gen_ms,1000,97,0.921747
membership_proof_gen_ms,1000,98,0.854590
membership_proof_gen_ms,1000,99,0.876983
membership_proof_gen_ms,1000,100,0.898657
membership_proof_gen_ms,1000,101,0.907585
membership_proof_gen_ms,1000,102,0.977673
membership_proof_gen_ms,1000,103,0.991188
membership_proof_gen_ms,1000,104,0.920684
membership_proof_gen_ms,1000,105,0.906655
membership_proof_gen_ms,1000,106,0.875295
membership_proof_gen_ms,1000,107,0.900923
membership_proof_gen_ms,1000,108,0.880093
